feature,importance
total_cn,9598.810546875
ploidy,3392.936279296875
pLOH,1477.8944091796875
cna_burden,940.2073974609375
minor_cn,427.6521301269531
freq_Circular,414.8194885253906
freq_BFB,328.8999938964844
freq_Linear,309.7938537597656
purity,302.5295104980469
freq_HR,292.74334716796875
AScore,178.46176147460938
