Model,Train_auPRC,Train_Precision,Train_Recall,Train_Accuracy,Val_auPRC,Val_Precision,Val_Recall,Val_Accuracy,Test_auPRC,Test_Precision,Test_Recall,Test_Accuracy
xgb_new,0.990606319663127,0.919831223628692,0.9316239316239316,0.8863636363636364,0.9586937436731509,0.84375,0.9310344827586207,0.8157894736842105,0.9979177506070066,1.0,0.9354838709677419,0.95
deep_residual,0.9896168515034738,0.9947368421052631,0.8076923076923077,0.8506493506493507,0.9725348268887588,1.0,0.7586206896551724,0.8157894736842105,0.9999999999999998,1.0,0.7741935483870968,0.825
xgb_tuned,0.9934740783774396,0.9482758620689655,0.9401709401709402,0.9155844155844156,0.9878243460393559,0.9310344827586207,0.9310344827586207,0.8947368421052632,0.9989756763787722,1.0,0.967741935483871,0.975
optimized_residual,0.9900143406756176,0.9809523809523809,0.8803418803418803,0.8961038961038961,0.9856370592539457,0.9642857142857143,0.9310344827586207,0.9210526315789473,0.9989756763787723,1.0,0.9032258064516129,0.925
baseline_mlp,0.9917731805992178,1.0,0.8376068376068376,0.8766233766233766,0.9711623523306129,1.0,0.7931034482758621,0.8421052631578947,0.989397882936851,1.0,0.7419354838709677,0.8
xgb_paper,0.9807651069260036,0.9575471698113207,0.8675213675213675,0.8701298701298701,0.9557703148540024,0.9230769230769231,0.8275862068965517,0.8157894736842105,0.9912912103793997,1.0,0.8709677419354839,0.9
transformer,0.9914422568052845,0.9807692307692307,0.8717948717948718,0.8896103896103896,0.9741954891947386,0.9615384615384616,0.8620689655172413,0.868421052631579,0.9891035945099153,1.0,0.7419354838709677,0.8
