Model,Type,Train_auPRC,Train_AUC,Train_Precision,Train_Recall,Train_Specificity,Train_F1,Val_auPRC,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,Val_F1,Test_auPRC,Test_AUC,Test_Precision,Test_Recall,Test_Specificity,Test_F1
xgb_new,XGBNew,0.9518997967426284,0.9993299078648843,0.7986531701325653,0.9299240556267877,0.0,0.8593041536603705,0.6838339721482118,0.9914442865539961,0.6403188309531717,0.7286470143613001,0.0,0.6816333745801662,0.8338771771986925,0.9980477811224504,0.6463301331681636,0.7453571428571428,0.0,0.6923204511527616
deep_residual,DeepResidual,0.8807379084676029,0.9971955199251281,0.9598978919631094,0.5748594535950291,0.0,0.7190796372833261,0.8121307714044432,0.9620609226747534,0.9873284054910243,0.7067271352985639,0.0,0.8237885462555066,0.8132190964647286,0.9953370971343802,0.933791380387258,0.5339285714285714,0.0,0.679391047489207
xgb_tuned,xgb_tuned,0.9685392617954222,0.9997998076472983,0.8137103182901836,0.9594141434066475,0.0,0.880575734944667,0.9684415318108712,0.9997043702521882,0.8153747185590222,0.9580498866213152,0.0,0.8809730668983493,0.8065446097747496,0.9970123861915662,0.7900318133616119,0.7982142857142858,0.0,0.7941019719310712
optimized_residual,OptimizedResidual,0.9097851656127807,0.9983983310134623,0.9219257930725255,0.8111746720583884,0.0,0.8630115424973767,0.828255595582727,0.9741135123013716,0.8954565505072783,0.7671957671957672,0.0,0.8263789945043761,0.7905627920189857,0.9961656045400702,0.8058474189127456,0.63,0.0,0.7071557426337943
baseline_mlp,BaselineMLP,0.9169914394320887,0.9983205217162633,0.9624357453538949,0.7201893677877502,0.0,0.82387453458197,0.8005071992053675,0.9529901245684071,0.9585649317837291,0.716931216931217,0.0,0.8203243243243243,0.7663270639123139,0.9910411254677572,0.9777458722182341,0.48642857142857143,0.0,0.6496541855473408
dgit_super,DGITSuper,0.8897119543847817,0.9981049189638799,0.973287968727378,0.6630338297662491,0.0,0.7887480933943447,0.8271162004619239,0.9859757207349933,0.956745623069001,0.7021919879062736,0.0,0.8099389712292938,0.7311438750862691,0.9893973795243755,0.9700598802395209,0.5207142857142857,0.0,0.6776667441320009
xgb_paper,XGB11,0.8659715001247452,0.9957495974868888,0.9171277511373417,0.7356741295985797,0.0,0.8164404553415061,0.6394859311658234,0.9904863444365118,0.6802532647407994,0.6496598639455783,0.0,0.6646046781364778,0.7137817760967553,0.9566298295356361,0.8620394173093402,0.7185714285714285,0.0,0.7837943124269575
transformer,Transformer,0.9503203721500539,0.9992512742864011,0.93936908862282,0.8473222211263438,0.0,0.8909746169203246,0.8392501235264546,0.9934077625109796,0.9348030018761726,0.7532123960695389,0.0,0.8342402678945166,0.6874642822459959,0.9922301439816972,0.8853541416566627,0.5267857142857143,0.0,0.6605463502015226
