feature,importance
total_cn,101421.0625
cna_burden,19597.787109375
ploidy,13422.6015625
purity,2931.2578125
freq_Circular,2859.01611328125
pLOH,2608.901123046875
freq_HR,2294.906494140625
freq_Linear,2161.816162109375
freq_BFB,1870.9024658203125
AScore,1494.6134033203125
minor_cn,1165.6986083984375
