feature,importance
cn_ploidy_ratio,103914.328125
CN1,4404.783203125
pLOH,4265.5302734375
segVal,4169.27490234375
purity,3635.71435546875
cna_burden,3323.839111328125
CN2,3212.4375
cna_burden_norm,3185.70166015625
minor_cn_ratio,2732.340576171875
AScore,2585.209716796875
freq_Circular,2263.982421875
intersect_ratio,2222.57958984375
ploidy,2134.20947265625
minor_cn,1276.367431640625
