feature,importance
total_cn,90780.71875
cna_burden,25652.451171875
ploidy,13788.703125
purity,5237.62939453125
minor_cn,4126.908203125
freq_HR,3713.5068359375
pLOH,3130.896484375
freq_Circular,2783.56884765625
AScore,2404.849609375
freq_Linear,2154.476318359375
freq_BFB,2005.3009033203125
